"*""""Operation"""""",""Flag"",""objectId"",""objectType"",""MobileRecordId"",""FunctionalGroupName"",""userGroupName"",""Role"",""Login"",""Password"",""OrganizationName"",""OrganizationNumber"",""Company"",""Last Name"",""First Name"",""Address1"",""Address2"",""City"",""State"",""ZipCode"",""Country"",""Email"",""Telephone"",""ItemType"",""latitude"",""longitude"",""Driver License Number"",""Driver License State"",""Location"",""Customer Number"",""Date of Hire"",""Date of Birth"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc1"",""123"",""WestPak"",""23"",""7 OAKS RANCH"",""Boone"",""Paula"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""1"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc2"",""123"",""WestPak"",""23"",""A&A PACKING"",""Gray"",""Camila"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""2"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc3"",""123"",""WestPak"",""23"",""A.J. STEHLY RANCH 2"",""Meadows"",""Sheila"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""3"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc40"",""123"",""WestPak"",""23"",""ALLEN BURDEN"",""Hancock"",""Janice"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""40"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc41"",""123"",""WestPak"",""23"",""ALLEN, ROSE"",""Rivera"",""Ivette"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""41"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc42"",""123"",""WestPak"",""23"",""ALLIGOOD, KERRY"",""Booker"",""Don"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""42"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc43"",""123"",""WestPak"",""23"",""ALLISON, DORSEY"",""Lynn"",""Alison"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""43"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc44"",""123"",""WestPak"",""23"",""ALVARADO, FRANK & VIRGINIA"",""Rich"",""Anne"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""44"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc45"",""123"",""WestPak"",""23"",""AMBROSIO, AL"",""Casey"",""Kimberly"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""45"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc46"",""123"",""WestPak"",""23"",""AMOS, MIKE"",""Hinton"",""Anthony"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""46"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc47"",""123"",""WestPak"",""23"",""ANDERSON, RON"",""Blackwell"",""Stella"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""47"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"",""NormalUser"",""wpavoc48"",""123"",""WestPak"",""23"",""ANDRADE, ANTONIO"",""McKnight"",""Jesse"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""48"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"","""",""wpavoc49"","""",""WestPak"",""23"",""ANDRESON, DAVE"",""Farrell"",""Louise"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""49"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"","""",""wpavoc50"","""",""WestPak"",""23"",""ANDREWS, KEITH"",""Benton"",""Larry"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""50"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"","""",""wpavoc51"","""",""WestPak"",""23"",""ANEROL #1"",""Britt"",""Mike"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""51"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"","""",""wpavoc52"","""",""WestPak"",""23"",""ANGELI, JOE"",""Holt"",""Ralph"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""52"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"","""",""wpavoc53"","""",""WestPak"",""23"",""ANGUIANO, GILBERT"",""Snider"",""Perry"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""53"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"","""",""wpavoc54"","""",""WestPak"",""23"",""ANTHONY, DOROTHY"",""Hardy"",""Russell"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""54"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"","""",""wpavoc55"","""",""WestPak"",""23"",""APODACA RANCH"",""Campos"",""Gordon"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""55"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"","""",""wpavoc56"","""",""WestPak"",""23"",""APPLEBEE, STEVEN"",""Reese"",""Kenneth"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""56"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"","""",""wpavoc57"","""",""WestPak"",""23"",""ARCIDE, RICK"",""Baird"",""Julia"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""57"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"","""",""wpavoc58"","""",""WestPak"",""23"",""ARLINGTON, DAVE"",""Haynes"",""Edith"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""58"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"","""",""wpavoc59"","""",""WestPak"",""23"",""ARMENTA, FELIPE"",""Woods"",""Ryan"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""59"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"","""",""wpavoc60"","""",""WestPak"",""23"",""ARMSTRONG, LAURA"",""Morton"",""Camila"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""60"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"","""",""wpavoc61"","""",""WestPak"",""23"",""ARMSTRONG, STELLA"",""Shannon"",""Lydia"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""61"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"","""",""wpavoc62"","""",""WestPak"",""23"",""ARRAS, HENRY"",""Barrett"",""Dean"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""62"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"","""",""wpavoc63"","""",""WestPak"",""23"",""ARROYO NEGRO"",""Vincent"",""Clint"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""63"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"","""",""wpavoc64"","""",""WestPak"",""23"",""ARTHUR CALLE CUERO"",""Snyder"",""Hector"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""64"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"","""",""wpavoc65"","""",""WestPak"",""23"",""ARTHUR TIERRA RICA"",""Hill"",""Faith"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""65"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"","""",""wpavoc66"","""",""WestPak"",""23"",""ASHAR, TONY"",""McLeod"",""Janice"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""66"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"","""",""wpavoc67"","""",""WestPak"",""23"",""ASHBY, HAL"",""Carpenter"",""Renee"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""67"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"","""",""wpavoc68"","""",""WestPak"",""23"",""ASHLEY LILAC"",""Deleon"",""Harry"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""68"",""2/31995"",""4/5/2008"""
"O,""H"","""","""","""","""",""WestPak Customers"","""",""wpavoc69"","""",""WestPak"",""23"",""ASHLEY SAN GABRIEL"",""Barnes"",""Hector"",""1601 E. Olympic Blvd."","""",""Los Angeles"",""CA"",""90021"",""USA"","""",""(431) 283-8759"",""client"",""34.0314851"",""-118.2424463"","""","""","""",""69"",""2/31995"",""4/5/2008"""
